"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 07 18:00:31 CET 2024","Wed Feb 07 18:00:37 CET 2024","6400","chromium","usePageObject.spec.ts","","","","navigate to form page @smoke @regression",""
"passed","Wed Feb 07 18:00:37 CET 2024","Wed Feb 07 18:00:41 CET 2024","3941","chromium","usePageObject.spec.ts","","","","parametrized methods",""
